# cfgfile = prep/Shapes_garpos.shapes-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
32,S01,L01,M13,3.1294581,-1.5571884622823883e-08,37.134058667303634,-1.1069477931160517e-05,False,1300,30.01629,499.09821,0.0,-0.19,0.29,0.72,1303.1294581,30.01629,499.09821,0.0,-2.69,-0.48,-0.34,-0.016458877678542955,3.481622651617505e-05,0.0004125145358561024,-0.00012781770739303771,-0.0002454759441199076,-0.016416108694033957,-4.975904549509025e-09
33,S01,L01,M11,3.3220243,2.02541862113139e-08,41.25145618996669,-1.1129489313548204e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.3220243,33.01375,498.9089,0.0,-2.12,1.34,-3.76,-0.01645834918820196,3.501400296641971e-05,0.0004117480261983724,-0.0001267928732314304,-0.0002451467126998298,-0.01650510596945038,6.0969410631273036e-09
34,S01,L01,M12,3.6834257,-1.124563238276621e-08,47.401557473571955,-1.067703520951742e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.6834257,33.01375,498.9089,0.0,-0.92,1.64,-2.53,-0.01645834601864197,3.501519043753765e-05,0.0004117434238297146,-0.00012678672449234629,-0.0002451447437923039,-0.015834113552552143,-3.0530362682412715e-09
35,S01,L01,M13,3.1315738,-5.2619080960168655e-09,37.185151128441305,-1.106986243276223e-05,False,1330,33.01375,498.9089,0.0,-2.11,1.93,-0.61,1333.1315738,33.01375,498.9089,0.0,-2.26,0.5,0.85,-0.01645835085851876,3.5013377195724e-05,0.0004117504515422922,-0.0001267961135201098,-0.00024514775034333654,-0.016416678912442268,-1.6802759461587158e-09
36,S01,L01,M11,3.3194213,5.503949484144727e-08,41.20013305691435,-1.1128210309143324e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.3194213,36.01001,498.70159,0.0,-3.08,-3.6,5.26,-0.016457823429909497,3.5211139409001526e-05,0.00041098395094656896,-0.00012577274307500177,-0.00024482102847433784,-0.01650320919749228,1.658105142077204e-08
37,S01,L01,M12,3.6840001,1.0548704473164449e-08,47.409755294236646,-1.0677576583469008e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.6840001,36.01001,498.70159,0.0,1.95,1.99,-4.21,-0.01645782023834188,3.521233732894768e-05,0.00041097930782256037,-0.00012576654940737759,-0.0002448190592359271,-0.015834916413688744,2.86338336374925e-09
38,S01,L01,M13,3.1337243,1.3649369745362773e-09,37.23695803988477,-1.1070252708562806e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.1337243,36.01001,498.70159,0.0,-1.27,2.51,-1.01,-0.01645782505554974,3.521052925256335e-05,0.000410986315904826,-0.00012577589784445547,-0.00024482203158656356,-0.016417257694025536,4.3556383499954165e-10
39,S01,L01,M11,3.3167233,9.724621836023434e-09,41.14689896661679,-1.112693808840642e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.3167233,39.00498,498.47629,0.0,-1.55,2.37,-2.66,-0.01645729859515735,3.540827719109558e-05,0.00041021983076230386,-0.00012475421297096712,-0.0002444983869975676,-0.016501322485758474,2.9319967009833192e-09
40,S01,L01,M12,3.6845451,-1.4100790203236499e-08,47.41757356785175,-1.0678119083536245e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.6845451,39.00498,498.47629,0.0,0.08,0.81,-2.89,-0.016457295380532477,3.540948577833381e-05,0.00041021514606975787,-0.0001247479747628377,-0.000244496420840053,-0.01583572094486227,-3.827009764645339e-09
41,S01,L01,M13,3.1358844,-8.84610353433542e-09,37.288887024701665,-1.107064897905767e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.1358844,39.00498,498.47629,0.0,0.07,-1.77,0.3,-0.016457300175644823,3.540768299131675e-05,0.00041022213398219726,-0.00012475728002570382,-0.0002444993537558652,-0.01641784536577992,-2.820927852420496e-09
42,S01,L01,M11,3.3140895,-2.127329179330103e-08,41.09477627745022,-1.1125672869069474e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.3140895,41.99854,498.233,0.0,-1.15,-1.23,-1.43,-0.01645677458835851,3.560541722311501e-05,0.0004094556683347755,-0.00012373749939436656,-0.0002441793530485824,-0.01649944615714693,-6.4190455728585505e-09
