# cfgfile = res//lambda/Shapes_garpos.shapes_L-02.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
38,S01,L01,M13,3.1337243,6.866908272858097e-08,37.23697765354365,-1.139956332067809e-05,False,1360,36.01001,498.70159,0.0,0.26,-0.17,-1.3,1363.1337243,36.01001,498.70159,0.0,-1.27,2.51,-1.01,-0.01690898141257305,-0.00013094512439602212,0.0005657573149811244,-0.0002398400259739276,-0.00043375382795337377,-0.016905627501183785,2.1912930470158187e-08
39,S01,L01,M11,3.3167233,7.4099064651048e-08,41.14694064844281,-1.1534551663066504e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.3167233,39.00498,498.47629,0.0,-1.55,2.37,-2.66,-0.016908409399731046,-0.00013059577974290515,0.0005647722297273941,-0.0002400484284947254,-0.0004340758336218255,-0.01710581610220513,2.2341044902951523e-08
40,S01,L01,M12,3.6845451,-8.720181008046627e-08,47.41757673682258,-1.0711146837795808e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.6845451,39.00498,498.47629,0.0,0.08,0.81,-2.89,-0.016908405903927413,-0.00013059364464491048,0.0005647662091503008,-0.00024004970397084106,-0.0004340778056927113,-0.015884701322005312,-2.3666913262498923e-08
41,S01,L01,M13,3.1358844,5.674444642627976e-08,37.288906643095714,-1.1399963233076064e-05,False,1390,39.00498,498.47629,0.0,-2.54,-1.94,-1.05,1393.1358844,39.00498,498.47629,0.0,0.07,-1.77,0.3,-0.01690841111843832,-0.00013059682946015724,0.0005647751897336888,-0.0002400478014239885,-0.00043407486409073994,-0.016906220573904472,1.8095197368284133e-08
42,S01,L01,M11,3.3140895,4.014692235507069e-08,41.0948179741886,-1.1535113344598605e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.3140895,41.99854,498.233,0.0,-1.15,-1.23,-1.43,-0.016907839203318502,-0.0001302475125472123,0.000563790180340136,-0.00024025672535770955,-0.000434398077223808,-0.01710664907961741,1.2114012570840771e-08
43,S01,L01,M12,3.6851072,-1.0357481850930156e-07,47.425630113955975,-1.0711054133802343e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.6851072,41.99854,498.233,0.0,0.34,1.0,-1.48,-0.016907835677459536,-0.00013024535889756154,0.0005637841074365566,-0.0002402580154819339,-0.0004344000746463625,-0.0158845638413723,-2.8106324267973548e-08
44,S01,L01,M13,3.1380168,1.0187351634625244e-07,37.339954899888994,-1.1400368823651888e-05,False,1420,41.99854,498.233,0.0,2.93,-0.57,0.42,1423.1380168,41.99854,498.233,0.0,-0.02,4.94,-1.67,-0.016907840876576125,-0.00013024853459822508,0.0005637930623395928,-0.00024025611312373054,-0.00043439712935091653,-0.016906822067400316,3.2464299221102166e-08
45,S01,L01,M11,3.3114599,6.622403983330557e-08,41.04256368113718,-1.1535680871005527e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.3114599,44.99059,497.97173,0.0,0.61,-1.19,-1.09,-0.01690726905795987,-0.00012989924522936147,0.0005628081283331308,-0.00024046563026574477,-0.00043472172708831035,-0.017107490725017556,1.999844262412509e-08
46,S01,L01,M12,3.6856222,-7.022842815766093e-08,47.43296142146306,-1.071096484881586e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.6856222,44.99059,497.97173,0.0,-0.98,0.79,0.14,-0.016907265502532007,-0.00012989707332522574,0.0005628020039412841,-0.00024046693536719927,-0.0004347237508288283,-0.015884431431149166,-1.90547008172004e-08
47,S01,L01,M13,3.1401936,7.600120726455599e-08,37.392041366792114,-1.1400780139548203e-05,False,1450,44.99059,497.97173,0.0,1.12,-3.11,2.86,1453.1401936,44.99059,497.97173,0.0,3.38,0.61,-1.32,-0.016907270685395867,-0.00012990023938035588,0.0005628109316659395,-0.0002404650328962031,-0.00043472080079794823,-0.01690743205158417,2.4202713833076928e-08
