,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
2958,S01,L01,M11,3.5069679973688888,0.0,0.0,0.0,FALSE,30580,-176.32997087314334,467.8757755771038,0.0,2.0808959254974466,-1.2048673217662451,-0.6149215305732001,30583.506967997368,-176.32997087314334,467.8757755771038,0.0,-2.226225934637666,0.9356308618763358,0.8222106593593017
2959,S01,L01,M12,3.6094767681178666,0.0,0.0,0.0,FALSE,30580,-176.32997087314334,467.8757755771038,0.0,2.0808959254974466,-1.2048673217662451,-0.6149215305732001,30583.609476768117,-176.32997087314334,467.8757755771038,0.0,0.9549250597915622,-0.5010933550422315,-3.413397699970315
2960,S01,L01,M13,3.013669260256341,0.0,0.0,0.0,FALSE,30580,-176.32997087314334,467.8757755771038,0.0,2.0808959254974466,-1.2048673217662451,-0.6149215305732001,30583.013669260257,-176.32997087314334,467.8757755771038,0.0,-0.5752152201672454,1.435893169402066,-1.371914466705532
2961,S01,L01,M11,3.5044788164415888,0.0,0.0,0.0,FALSE,30610,-173.51633793169145,468.9265192658388,0.0,0.37671515341373246,-0.7249061515581826,-1.8764160290543446,30613.50447881644,-173.51633793169145,468.9265192658388,0.0,-0.07479661787110535,-0.6546885589839647,1.8439938447101982
2962,S01,L01,M12,3.6109635870518817,0.0,0.0,0.0,FALSE,30610,-173.51633793169145,468.9265192658388,0.0,0.37671515341373246,-0.7249061515581826,-1.8764160290543446,30613.610963587053,-173.51633793169145,468.9265192658388,0.0,0.27178067024985436,2.610230571161557,1.9057854726486294
2963,S01,L01,M13,3.0148182223640614,0.0,0.0,0.0,FALSE,30610,-173.51633793169145,468.9265192658388,0.0,0.37671515341373246,-0.7249061515581826,-1.8764160290543446,30613.014818222364,-173.51633793169145,468.9265192658388,0.0,-0.2403291351722486,0.9736191590171077,-3.818395229299112
2964,S01,L01,M11,3.502036746694114,0.0,0.0,0.0,FALSE,30640,-170.69644410944446,469.9603429741613,0.0,-2.321176392413647,-2.2431331888881116,3.1734377334657378,30643.502036746693,-170.69644410944446,469.9603429741613,0.0,4.533637624510851,-0.1318361885766467,3.3536070212431985
2965,S01,L01,M12,3.612397409429959,0.0,0.0,0.0,FALSE,30640,-170.69644410944446,469.9603429741613,0.0,-2.321176392413647,-2.2431331888881116,3.1734377334657378,30643.61239740943,-170.69644410944446,469.9603429741613,0.0,0.9518577920915776,2.438092618675993,0.34892279509603547
2966,S01,L01,M13,3.0159304956727024,0.0,0.0,0.0,FALSE,30640,-170.69644410944446,469.9603429741613,0.0,-2.321176392413647,-2.2431331888881116,3.1734377334657378,30643.015930495672,-170.69644410944446,469.9603429741613,0.0,0.3353461082634708,-0.5934007209268968,1.1577709455349192
2967,S01,L01,M11,3.4995031998542894,0.0,0.0,0.0,FALSE,30670,-167.87039115485513,470.97720939926165,0.0,-0.6791239600978107,1.1889961202764108,-0.14981733732828637,30673.499503199855,-167.87039115485513,470.97720939926165,0.0,0.7951148587407988,3.5625776861817617,0.6964748141036424
2968,S01,L01,M12,3.613863335357904,0.0,0.0,0.0,FALSE,30670,-167.87039115485513,470.97720939926165,0.0,-0.6791239600978107,1.1889961202764108,-0.14981733732828637,30673.61386333536,-167.87039115485513,470.97720939926165,0.0,0.35006221105346025,2.008084065790563,2.4777462183251133
2969,S01,L01,M13,3.017094549444697,0.0,0.0,0.0,FALSE,30670,-167.87039115485513,470.97720939926165,0.0,-0.6791239600978107,1.1889961202764108,-0.14981733732828637,30673.017094549446,-167.87039115485513,470.97720939926165,0.0,-4.135068975418309,1.4897413134211226,-0.6145519483005092
2970,S01,L01,M11,3.4969860632253535,0.0,0.0,0.0,FALSE,30700,-165.03828103861372,471.9770818501885,0.0,-0.6577494699436841,0.9421050854620578,0.035805243425040545,30703.496986063226,-165.03828103861372,471.9770818501885,0.0,0.5264284815753711,0.6134107628377009,-0.9781133923766336
2971,S01,L01,M12,3.6152707233059838,0.0,0.0,0.0,FALSE,30700,-165.03828103861372,471.9770818501885,0.0,-0.6577494699436841,0.9421050854620578,0.035805243425040545,30703.615270723305,-165.03828103861372,471.9770818501885,0.0,0.500379630742265,-0.44984972224596576,2.6068212008319995
2972,S01,L01,M13,3.0182944658956794,0.0,0.0,0.0,FALSE,30700,-165.03828103861372,471.9770818501885,0.0,-0.6577494699436841,0.9421050854620578,0.035805243425040545,30703.018294465895,-165.03828103861372,471.9770818501885,0.0,-0.8151991182934307,-4.217789821775271,0.42071693125225157
2973,S01,L01,M11,3.4944773109376857,0.0,0.0,0.0,FALSE,30730,-162.20021594996683,472.9599242491737,0.0,1.3213375846875117,0.47522777529420573,-1.8263925542628632,30733.49447731094,-162.20021594996683,472.9599242491737,0.0,-1.6484302613650683,-2.0525896464851536,1.1204428631325163
2974,S01,L01,M12,3.616668006221016,0.0,0.0,0.0,FALSE,30730,-162.20021594996683,472.9599242491737,0.0,1.3213375846875117,0.47522777529420573,-1.8263925542628632,30733.61666800622,-162.20021594996683,472.9599242491737,0.0,-2.9823641555453917,-3.429821571678065,-0.11390121003309023
2975,S01,L01,M13,3.019479540607608,0.0,0.0,0.0,FALSE,30730,-162.20021594996683,472.9599242491737,0.0,1.3213375846875117,0.47522777529420573,-1.8263925542628632,30733.019479540606,-162.20021594996683,472.9599242491737,0.0,-4.0972340180705675,1.9467121279466884,-0.09785356254883988
2976,S01,L01,M11,3.4919812232810807,0.0,0.0,0.0,FALSE,30760,-159.3562982930309,473.92570113293345,0.0,0.2559077126137171,0.16073716469980606,-0.24751258057576875,30763.49198122328,-159.3562982930309,473.92570113293345,0.0,1.1123000191915366,2.5173540716245757,0.9111131539965046
2977,S01,L01,M12,3.6181113558058806,0.0,0.0,0.0,FALSE,30760,-159.3562982930309,473.92570113293345,0.0,0.2559077126137171,0.16073716469980606,-0.24751258057576875,30763.618111355805,-159.3562982930309,473.92570113293345,0.0,-2.785942516822406,2.13794441232587,0.5768016270015619
2978,S01,L01,M13,3.0206944174623898,0.0,0.0,0.0,FALSE,30760,-159.3562982930309,473.92570113293345,0.0,0.2559077126137171,0.16073716469980606,-0.24751258057576875,30763.02069441746,-159.3562982930309,473.92570113293345,0.0,-1.045149129500579,0.8473231302388966,-0.7756119776471765
2979,S01,L01,M11,3.48947083426362,0.0,0.0,0.0,FALSE,30790,-156.5066306830957,474.87437765394867,0.0,-1.1423319256395212,-0.4203688509660773,0.9746447130286203,30793.489470834265,-156.5066306830957,474.87437765394867,0.0,-0.07590433404296325,1.6713759484182122,0.706648593600787
2980,S01,L01,M12,3.6194866406699884,0.0,0.0,0.0,FALSE,30790,-156.5066306830957,474.87437765394867,0.0,-1.1423319256395212,-0.4203688509660773,0.9746447130286203,30793.61948664067,-156.5066306830957,474.87437765394867,0.0,1.3108070500625346,-0.09426475390941919,-2.4829917589567327
2981,S01,L01,M13,3.0219340740813916,0.0,0.0,0.0,FALSE,30790,-156.5066306830957,474.87437765394867,0.0,-1.1423319256395212,-0.4203688509660773,0.9746447130286203,30793.02193407408,-156.5066306830957,474.87437765394867,0.0,-0.27908715319263305,-2.6973457051916263,-0.47312815054410506
2982,S01,L01,M11,3.486933000306312,0.0,0.0,0.0,FALSE,30820,-153.6513159429242,475.8059195817216,0.0,1.6508559928691229,1.2419988345537913,0.06387149527702796,30823.486933000306,-153.6513159429242,475.8059195817216,0.0,-3.6713656082500545,-1.838336257374386,-0.13511772752313567
2983,S01,L01,M12,3.6208778169619924,0.0,0.0,0.0,FALSE,30820,-153.6513159429242,475.8059195817216,0.0,1.6508559928691229,1.2419988345537913,0.06387149527702796,30823.62087781696,-153.6513159429242,475.8059195817216,0.0,-1.0457382924634493,-0.7640584284298559,-1.1999528312730539
2984,S01,L01,M13,3.023153826721839,0.0,0.0,0.0,FALSE,30820,-153.6513159429242,475.8059195817216,0.0,1.6508559928691229,1.2419988345537913,0.06387149527702796,30823.02315382672,-153.6513159429242,475.8059195817216,0.0,-5.784274659882374,1.4978928525997337,1.3135680891422137
2985,S01,L01,M11,3.4844106637697507,0.0,0.0,0.0,FALSE,30850,-150.79045709904085,476.7202933040111,0.0,3.7849127954981445,-1.8480826276001756,1.4366165531551855,30853.48441066377,-150.79045709904085,476.7202933040111,0.0,-0.010041977769007133,-0.8910794303028832,-0.924956731128395
2986,S01,L01,M12,3.6222184046713135,0.0,0.0,0.0,FALSE,30850,-150.79045709904085,476.7202933040111,0.0,3.7849127954981445,-1.8480826276001756,1.4366165531551855,30853.62221840467,-150.79045709904085,476.7202933040111,0.0,-4.013874546854391,-1.5930539354615416,-1.1670475682146146
2987,S01,L01,M13,3.0244199562055263,0.0,0.0,0.0,FALSE,30850,-150.79045709904085,476.7202933040111,0.0,3.7849127954981445,-1.8480826276001756,1.4366165531551855,30853.024419956204,-150.79045709904085,476.7202933040111,0.0,1.323769513921883,2.461939162437892,1.0165266279961944
2988,S01,L01,M11,3.481901819374289,0.0,0.0,0.0,FALSE,30880,-147.9241573780148,477.61746582804557,0.0,1.4687663135875981,-0.616339846906494,1.4779092924276493,30883.481901819374,-147.9241573780148,477.61746582804557,0.0,-1.60470816278377,-0.1752719130665714,1.7599264820748053
2989,S01,L01,M12,3.623614186477936,0.0,0.0,0.0,FALSE,30880,-147.9241573780148,477.61746582804557,0.0,1.4687663135875981,-0.616339846906494,1.4779092924276493,30883.62361418648,-147.9241573780148,477.61746582804557,0.0,4.987910743088921,2.3238132474743898,4.743209592217418
2990,S01,L01,M13,3.025726369045463,0.0,0.0,0.0,FALSE,30880,-147.9241573780148,477.61746582804557,0.0,1.4687663135875981,-0.616339846906494,1.4779092924276493,30883.025726369044,-147.9241573780148,477.61746582804557,0.0,-0.6419713200679283,-3.582882053090153,-0.6361752919528316
